TID,TACTIC,TECHNIQUE
T1557,collection,Adversary-in-the-Middle
T1560,collection,Archive Collected Data
T1123,collection,Audio Capture
T1119,collection,Automated Collection
T1185,collection,Browser Session Hijacking
T1115,collection,Clipboard Data
T1074,collection,Data Staged
T1530,collection,Data from Cloud Storage
T1602,collection,Data from Configuration Repository
T1213,collection,Data from Information Repositories
T1005,collection,Data from Local System
T1039,collection,Data from Network Shared Drive
T1025,collection,Data from Removable Media
T1114,collection,Email Collection
T1056,collection,Input Capture
T1113,collection,Screen Capture
T1125,collection,Video Capture
T1071,command-and-control,Application Layer Protocol
T1043,command-and-control,Commonly Used Port
T1092,command-and-control,Communication Through Removable Media
T1094,command-and-control,Custom Command and Control Protocol
T1024,command-and-control,Custom Cryptographic Protocol
T1132,command-and-control,Data Encoding
T1001,command-and-control,Data Obfuscation
T1172,command-and-control,Domain Fronting
T1483,command-and-control,Domain Generation Algorithms
T1568,command-and-control,Dynamic Resolution
T1573,command-and-control,Encrypted Channel
T1008,command-and-control,Fallback Channels
T1105,command-and-control,Ingress Tool Transfer
T1104,command-and-control,Multi-Stage Channels
T1188,command-and-control,Multi-hop Proxy
T1026,command-and-control,Multiband Communication
T1079,command-and-control,Multilayer Encryption
T1095,command-and-control,Non-Application Layer Protocol
T1571,command-and-control,Non-Standard Port
T1572,command-and-control,Protocol Tunneling
T1090,command-and-control,Proxy
T1219,command-and-control,Remote Access Software
T1032,command-and-control,Standard Cryptographic Protocol
T1205,command-and-control,Traffic Signaling
T1065,command-and-control,Uncommonly Used Port
T1102,command-and-control,Web Service
T1557,credential-access,Adversary-in-the-Middle
T1139,credential-access,Bash History
T1110,credential-access,Brute Force
T1522,credential-access,Cloud Instance Metadata API
T1555,credential-access,Credentials from Password Stores
T1503,credential-access,Credentials from Web Browsers
T1081,credential-access,Credentials in Files
T1214,credential-access,Credentials in Registry
T1212,credential-access,Exploitation for Credential Access
T1187,credential-access,Forced Authentication
T1606,credential-access,Forge Web Credentials
T1179,credential-access,Hooking
T1056,credential-access,Input Capture
T1141,credential-access,Input Prompt
T1208,credential-access,Kerberoasting
T1142,credential-access,Keychain
T1171,credential-access,LLMNR/NBT-NS Poisoning and Relay
T1556,credential-access,Modify Authentication Process
T1111,credential-access,Multi-Factor Authentication Interception
